id,municipios_id,mun_desc,partidos_id,part_desc,novotos,,
,1,APOZOL,1,PAN,36,,
,2,APULCO,1,PAN,123,,
,3,ATOLINGA,1,PAN,423,,
,4,BENITO JUAREZ,1,PAN,900,,
,5,CALERA,1,PAN,3060,,
,6,CAÑITAS DE FELIPE PESCADOR,1,PAN,20,,
,7,CONCEPCIÓN DEL ORO,1,PAN,72,,
,8,CUAUHTÉMOC,1,PAN,107,,
,9,CHALCHIHUITES,1,PAN,100,,
,10,FRESNILLO,1,PAN,5113,,
,11,TRINIDAD GARCÍA DE LA CADENA,1,PAN,185,,
,12,GENARO CODINA,1,PAN,176,,
,13,GENERAL ENRIQUE ESTRADA,1,PAN,306,,
,14,GRAL.  FRANCISCO R.,1,PAN,51,,
,15,EL PLATEADO DE JOAQUÍN AMARO,1,PAN,24,,
,16,GENERAL PÁNFILO NATERA,1,PAN,286,,
,16,GUADALUPE,1,PAN,6380,,
,18,HUANUSCO,1,PAN,400,,
,19,JALPA,1,PAN,1362,,
,20,MORELOS,1,PAN,190,,
,20,JEREZ,1,PAN,6221,,
,21,JIMÉNEZ DEL TEÚL,1,PAN,29,,
,22,JUAN ALDAMA,1,PAN,1472,,
,23,JUCHIPILA,1,PAN,1732,,
,24,LORETO,1,PAN,237,,
,25,LUIS MOYA,1,PAN,109,,
,26,MAZAPIL,1,PAN,63,,
,27,MELCHOR  OCAMPO,1,PAN,3,,
,28,MEZQUITAL DEL ORO,1,PAN,9,,
,29,MIGUEL AUZA,1,PAN,953,,
,30,MOMAX,1,PAN,793,,
,31,MONTE ESCOBEDO,1,PAN,361,,
,33,MOYAHUA DE ESTRADA,1,PAN,274,,
,34,NOCHISTLÁN  DE MEJÍA,1,PAN,1435,,
,35,NORIA DE ÁNGELES,1,PAN,58,,
,36,OJOCALIENTE,1,PAN,496,,
,37,PÁNUCO,1,PAN,296,,
,38,PINOS,1,PAN,282,,
,39,RÍO GRANDE,1,PAN,1718,,
,40,SAÍN ALTO,1,PAN,246,,
,41,EL SALVADOR,1,PAN,2,,
,42,SOMBRERETE,1,PAN,7244,,
,43,SUSTICACÁN,1,PAN,21,,
,44,TABASCO,1,PAN,1653,,
,45,TEPECHITLÁN,1,PAN,152,,
,46,TEPETONGO,1,PAN,81,,
,47,TEÚL DE GONZÁLEZ,1,PAN,240,,
,48,TLALTENANGO,1,PAN,3434,,
,49,VALPARAISO,1,PAN,967,,
,50,VETAGRANDE,1,PAN,77,,
,51,VILLA DE COS,1,PAN,2996,,
,52,VILLA GARCÍA,1,PAN,95,,
,53,VILLA GONZÁLEZ ORTEGA,1,PAN,2687,,
,54,VILLA HIDALGO,1,PAN,44,,
,55,VILLANUEVA,1,PAN,679,,
,56,ZACATECAS,1,PAN,6321,,
,57,TRANCOSO,1,PAN,126,,
,58,SANTA MARÍA DE LA PAZ,1,PAN,590,,
,,,,,63510,,
,1,APOZOL,2,PRI,1050,,
,2,APULCO,2,PRI,1098,,
,3,ATOLINGA,2,PRI,373,,
,4,BENITO JUAREZ,2,PRI,175,,
,5,CALERA,2,PRI,1062,,
,6,CAÑITAS DE FELIPE PESCADOR,2,PRI,108,,
,7,CONCEPCIÓN DEL ORO,2,PRI,2360,,
,8,CUAUHTÉMOC,2,PRI,1030,,
,9,CHALCHIHUITES,2,PRI,2260,,
,10,FRESNILLO,2,PRI,23508,,
,11,TRINIDAD GARCÍA DE LA CADENA,2,PRI,357,,
,12,GENARO CODINA,2,PRI,309,,
,13,GENERAL ENRIQUE ESTRADA,2,PRI,284,,
,14,GRAL.  FRANCISCO R.,2,PRI,4537,,
,15,EL PLATEADO DE JOAQUÍN AMARO,2,PRI,184,,
,16,GENERAL PÁNFILO NATERA,2,PRI,3122,,
,16,GUADALUPE,2,PRI,14916,,
,18,HUANUSCO,2,PRI,576,,
,19,JALPA,2,PRI,1056,,
,20,MORELOS,2,PRI,439,,
,20,JEREZ,2,PRI,6787,,
,21,JIMÉNEZ DEL TEÚL,2,PRI,728,,
,22,JUAN ALDAMA,2,PRI,654,,
,23,JUCHIPILA,2,PRI,750,,
,24,LORETO,2,PRI,1718,,
,25,LUIS MOYA,2,PRI,212,,
,26,MAZAPIL,2,PRI,2090,,
,27,MELCHOR  OCAMPO,2,PRI,11,,
,28,MEZQUITAL DEL ORO,2,PRI,115,,
,29,MIGUEL AUZA,2,PRI,1205,,
,30,MOMAX,2,PRI,433,,
,31,MONTE ESCOBEDO,2,PRI,1478,,
,33,MOYAHUA DE ESTRADA,2,PRI,697,,
,34,NOCHISTLÁN  DE MEJÍA,2,PRI,2218,,
,35,NORIA DE ÁNGELES,2,PRI,2490,,
,36,OJOCALIENTE,2,PRI,5163,,
,37,PÁNUCO,2,PRI,2669,,
,38,PINOS,2,PRI,15790,,
,39,RÍO GRANDE,2,PRI,3540,,
,40,SAÍN ALTO,2,PRI,1781,,
,41,EL SALVADOR,2,PRI,15,,
,42,SOMBRERETE,2,PRI,9157,,
,43,SUSTICACÁN,2,PRI,308,,
,44,TABASCO,2,PRI,601,,
,45,TEPECHITLÁN,2,PRI,1196,,
,46,TEPETONGO,2,PRI,1356,,
,47,TEÚL DE GONZÁLEZ,2,PRI,846,,
,48,TLALTENANGO,2,PRI,1485,,
,49,VALPARAISO,2,PRI,2238,,
,50,VETAGRANDE,2,PRI,1253,,
,51,VILLA DE COS,2,PRI,5060,,
,52,VILLA GARCÍA,2,PRI,2137,,
,53,VILLA GONZÁLEZ ORTEGA,2,PRI,1250,,
,54,VILLA HIDALGO,2,PRI,4806,,
,55,VILLANUEVA,2,PRI,1310,,
,56,ZACATECAS,2,PRI,12590,,
,57,TRANCOSO,2,PRI,2509,,
,58,SANTA MARÍA DE LA PAZ,2,PRI,190,,
,1,APOZOL,3,PRD,515,,
,2,APULCO,3,PRD,53,,
,3,ATOLINGA,3,PRD,51,,
,4,BENITO JUAREZ,3,PRD,56,,
,5,CALERA,3,PRD,334,,
,6,CAÑITAS DE FELIPE PESCADOR,3,PRD,164,,
,7,CONCEPCIÓN DEL ORO,3,PRD,37,,
,8,CUAUHTÉMOC,3,PRD,161,,
,9,CHALCHIHUITES,3,PRD,40,,
,10,FRESNILLO,3,PRD,2374,,
,11,TRINIDAD GARCÍA DE LA CADENA,3,PRD,47,,
,12,GENARO CODINA,3,PRD,637,,
,13,GENERAL ENRIQUE ESTRADA,3,PRD,95,,
,14,GRAL.  FRANCISCO R.,3,PRD,0,,
,15,EL PLATEADO DE JOAQUÍN AMARO,3,PRD,46,,
,16,GENERAL PÁNFILO NATERA,3,PRD,629,,
,16,GUADALUPE,3,PRD,1543,,
,18,HUANUSCO,3,PRD,42,,
,19,JALPA,3,PRD,151,,
,20,MORELOS,3,PRD,768,,
,20,JEREZ,3,PRD,234,,
,21,JIMÉNEZ DEL TEÚL,3,PRD,45,,
,22,JUAN ALDAMA,3,PRD,142,,
,23,JUCHIPILA,3,PRD,142,,
,24,LORETO,3,PRD,266,,
,25,LUIS MOYA,3,PRD,32,,
,26,MAZAPIL,3,PRD,43,,
,27,MELCHOR  OCAMPO,3,PRD,665,,
,28,MEZQUITAL DEL ORO,3,PRD,684,,
,29,MIGUEL AUZA,3,PRD,127,,
,30,MOMAX,3,PRD,0,,
,31,MONTE ESCOBEDO,3,PRD,96,,
,33,MOYAHUA DE ESTRADA,3,PRD,86,,
,34,NOCHISTLÁN  DE MEJÍA,3,PRD,242,,
,35,NORIA DE ÁNGELES,3,PRD,88,,
,36,OJOCALIENTE,3,PRD,3791,,
,37,PÁNUCO,3,PRD,107,,
,38,PINOS,3,PRD,0,,
,39,RÍO GRANDE,3,PRD,7023,,
,40,SAÍN ALTO,3,PRD,610,,
,41,EL SALVADOR,3,PRD,0,,
,42,SOMBRERETE,3,PRD,0,,
,43,SUSTICACÁN,3,PRD,10,,
,44,TABASCO,3,PRD,167,,
,45,TEPECHITLÁN,3,PRD,69,,
,46,TEPETONGO,3,PRD,103,,
,47,TEÚL DE GONZÁLEZ,3,PRD,68,,
,48,TLALTENANGO,3,PRD,496,,
,49,VALPARAISO,3,PRD,4225,,
,50,VETAGRANDE,3,PRD,151,,
,51,VILLA DE COS,3,PRD,72,,
,52,VILLA GARCÍA,3,PRD,125,,
,53,VILLA GONZÁLEZ ORTEGA,3,PRD,41,,
,54,VILLA HIDALGO,3,PRD,85,,
,55,VILLANUEVA,3,PRD,4617,,
,56,ZACATECAS,3,PRD,1962,,
,57,TRANCOSO,3,PRD,0,,
,58,SANTA MARÍA DE LA PAZ,3,PRD,60,,
,1,APOZOL,4,PT,0,,
,2,APULCO,4,PT,0,,
,3,ATOLINGA,4,PT,0,,
,4,BENITO JUAREZ,4,PT,126,,
,5,CALERA,4,PT,359,,
,6,CAÑITAS DE FELIPE PESCADOR,4,PT,156,,
,7,CONCEPCIÓN DEL ORO,4,PT,62,,
,8,CUAUHTÉMOC,4,PT,19,,
,9,CHALCHIHUITES,4,PT,379,,
,10,FRESNILLO,4,PT,5383,,
,11,TRINIDAD GARCÍA DE LA CADENA,4,PT,0,,
,12,GENARO CODINA,4,PT,20,,
,13,GENERAL ENRIQUE ESTRADA,4,PT,63,,
,14,GRAL.  FRANCISCO R.,4,PT,1418,,
,15,EL PLATEADO DE JOAQUÍN AMARO,4,PT,19,,
,16,GENERAL PÁNFILO NATERA,4,PT,281,,
,16,GUADALUPE,4,PT,5120,,
,18,HUANUSCO,4,PT,28,,
,19,JALPA,4,PT,353,,
,20,MORELOS,4,PT,357,,
,20,JEREZ,4,PT,469,,
,21,JIMÉNEZ DEL TEÚL,4,PT,39,,
,22,JUAN ALDAMA,4,PT,1069,,
,23,JUCHIPILA,4,PT,82,,
,24,LORETO,4,PT,2963,,
,25,LUIS MOYA,4,PT,0,,
,26,MAZAPIL,4,PT,2634,,
,27,MELCHOR  OCAMPO,4,PT,8,,
,28,MEZQUITAL DEL ORO,4,PT,15,,
,29,MIGUEL AUZA,4,PT,1948,,
,30,MOMAX,4,PT,0,,
,31,MONTE ESCOBEDO,4,PT,183,,
,33,MOYAHUA DE ESTRADA,4,PT,15,,
,34,NOCHISTLÁN  DE MEJÍA,4,PT,1835,,
,35,NORIA DE ÁNGELES,4,PT,1724,,
,36,OJOCALIENTE,4,PT,4035,,
,37,PÁNUCO,4,PT,1313,,
,38,PINOS,4,PT,329,,
,39,RÍO GRANDE,4,PT,4847,,
,40,SAÍN ALTO,4,PT,86,,
,41,EL SALVADOR,4,PT,5,,
,42,SOMBRERETE,4,PT,389,,
,43,SUSTICACÁN,4,PT,10,,
,44,TABASCO,4,PT,498,,
,45,TEPECHITLÁN,4,PT,57,,
,46,TEPETONGO,4,PT,0,,
,47,TEÚL DE GONZÁLEZ,4,PT,1251,,
,48,TLALTENANGO,4,PT,264,,
,49,VALPARAISO,4,PT,351,,
,50,VETAGRANDE,4,PT,389,,
,51,VILLA DE COS,4,PT,1708,,
,52,VILLA GARCÍA,4,PT,131,,
,53,VILLA GONZÁLEZ ORTEGA,4,PT,249,,
,54,VILLA HIDALGO,4,PT,2906,,
,55,VILLANUEVA,4,PT,142,,
,56,ZACATECAS,4,PT,2511,,
,57,TRANCOSO,4,PT,2900,,
,58,SANTA MARÍA DE LA PAZ,4,PT,11,,
,1,APOZOL,5,PVEM,20,,
,2,APULCO,5,PVEM,0,,
,3,ATOLINGA,5,PVEM,471,,
,4,BENITO JUAREZ,5,PVEM,1017,,
,5,CALERA,5,PVEM,540,,
,6,CAÑITAS DE FELIPE PESCADOR,5,PVEM,1704,,
,7,CONCEPCIÓN DEL ORO,5,PVEM,146,,
,8,CUAUHTÉMOC,5,PVEM,2217,,
,9,CHALCHIHUITES,5,PVEM,36,,
,10,FRESNILLO,5,PVEM,1393,,
,11,TRINIDAD GARCÍA DE LA CADENA,5,PVEM,538,,
,12,GENARO CODINA,5,PVEM,248,,
,13,GENERAL ENRIQUE ESTRADA,5,PVEM,513,,
,14,GRAL.  FRANCISCO R.,5,PVEM,43,,
,15,EL PLATEADO DE JOAQUÍN AMARO,5,PVEM,8,,
,16,GENERAL PÁNFILO NATERA,5,PVEM,134,,
,16,GUADALUPE,5,PVEM,2073,,
,18,HUANUSCO,5,PVEM,21,,
,19,JALPA,5,PVEM,144,,
,20,MORELOS,5,PVEM,1286,,
,20,JEREZ,5,PVEM,407,,
,21,JIMÉNEZ DEL TEÚL,5,PVEM,50,,
,22,JUAN ALDAMA,5,PVEM,25,,
,23,JUCHIPILA,5,PVEM,29,,
,24,LORETO,5,PVEM,99,,
,25,LUIS MOYA,5,PVEM,1892,,
,26,MAZAPIL,5,PVEM,109,,
,27,MELCHOR  OCAMPO,5,PVEM,629,,
,28,MEZQUITAL DEL ORO,5,PVEM,10,,
,29,MIGUEL AUZA,5,PVEM,24,,
,30,MOMAX,5,PVEM,11,,
,31,MONTE ESCOBEDO,5,PVEM,163,,
,33,MOYAHUA DE ESTRADA,5,PVEM,21,,
,34,NOCHISTLÁN  DE MEJÍA,5,PVEM,283,,
,35,NORIA DE ÁNGELES,5,PVEM,75,,
,36,OJOCALIENTE,5,PVEM,586,,
,37,PÁNUCO,5,PVEM,152,,
,38,PINOS,5,PVEM,282,,
,39,RÍO GRANDE,5,PVEM,572,,
,40,SAÍN ALTO,5,PVEM,2758,,
,41,EL SALVADOR,5,PVEM,1189,,
,42,SOMBRERETE,5,PVEM,469,,
,43,SUSTICACÁN,5,PVEM,0,,
,44,TABASCO,5,PVEM,0,,
,45,TEPECHITLÁN,5,PVEM,48,,
,46,TEPETONGO,5,PVEM,910,,
,47,TEÚL DE GONZÁLEZ,5,PVEM,0,,
,48,TLALTENANGO,5,PVEM,190,,
,49,VALPARAISO,5,PVEM,417,,
,50,VETAGRANDE,5,PVEM,83,,
,51,VILLA DE COS,5,PVEM,112,,
,52,VILLA GARCÍA,5,PVEM,65,,
,53,VILLA GONZÁLEZ ORTEGA,5,PVEM,145,,
,54,VILLA HIDALGO,5,PVEM,15,,
,55,VILLANUEVA,5,PVEM,106,,
,56,ZACATECAS,5,PVEM,3238,,
,57,TRANCOSO,5,PVEM,35,,
,58,SANTA MARÍA DE LA PAZ,5,PVEM,9,,
,1,APOZOL,6,MC,0,,
,2,APULCO,6,MC,0,,
,3,ATOLINGA,6,MC,0,,
,4,BENITO JUAREZ,6,MC,0,,
,5,CALERA,6,MC,0,,
,6,CAÑITAS DE FELIPE PESCADOR,6,MC,0,,
,7,CONCEPCIÓN DEL ORO,6,MC,0,,
,8,CUAUHTÉMOC,6,MC,0,,
,9,CHALCHIHUITES,6,MC,0,,
,10,FRESNILLO,6,MC,0,,
,11,TRINIDAD GARCÍA DE LA CADENA,6,MC,0,,
,12,GENARO CODINA,6,MC,0,,
,13,GENERAL ENRIQUE ESTRADA,6,MC,0,,
,14,GRAL.  FRANCISCO R.,6,MC,0,,
,15,EL PLATEADO DE JOAQUÍN AMARO,6,MC,0,,
,16,GENERAL PÁNFILO NATERA,6,MC,0,,
,16,GUADALUPE,6,MC,0,,
,18,HUANUSCO,6,MC,0,,
,19,JALPA,6,MC,0,,
,20,MORELOS,6,MC,0,,
,20,JEREZ,6,MC,0,,
,21,JIMÉNEZ DEL TEÚL,6,MC,0,,
,22,JUAN ALDAMA,6,MC,0,,
,23,JUCHIPILA,6,MC,0,,
,24,LORETO,6,MC,0,,
,25,LUIS MOYA,6,MC,0,,
,26,MAZAPIL,6,MC,0,,
,27,MELCHOR  OCAMPO,6,MC,0,,
,28,MEZQUITAL DEL ORO,6,MC,0,,
,29,MIGUEL AUZA,6,MC,0,,
,30,MOMAX,6,MC,0,,
,31,MONTE ESCOBEDO,6,MC,0,,
,33,MOYAHUA DE ESTRADA,6,MC,0,,
,34,NOCHISTLÁN  DE MEJÍA,6,MC,0,,
,35,NORIA DE ÁNGELES,6,MC,0,,
,36,OJOCALIENTE,6,MC,0,,
,37,PÁNUCO,6,MC,0,,
,38,PINOS,6,MC,0,,
,39,RÍO GRANDE,6,MC,0,,
,40,SAÍN ALTO,6,MC,0,,
,41,EL SALVADOR,6,MC,0,,
,42,SOMBRERETE,6,MC,0,,
,43,SUSTICACÁN,6,MC,0,,
,44,TABASCO,6,MC,0,,
,45,TEPECHITLÁN,6,MC,0,,
,46,TEPETONGO,6,MC,0,,
,47,TEÚL DE GONZÁLEZ,6,MC,0,,
,48,TLALTENANGO,6,MC,0,,
,49,VALPARAISO,6,MC,0,,
,50,VETAGRANDE,6,MC,0,,
,51,VILLA DE COS,6,MC,0,,
,52,VILLA GARCÍA,6,MC,0,,
,53,VILLA GONZÁLEZ ORTEGA,6,MC,0,,
,54,VILLA HIDALGO,6,MC,0,,
,55,VILLANUEVA,6,MC,0,,
,56,ZACATECAS,6,MC,0,,
,57,TRANCOSO,6,MC,0,,
,58,SANTA MARÍA DE LA PAZ,6,MC,0,,
,1,APOZOL,7,MORENA,1546,,
,2,APULCO,7,MORENA,0,,
,3,ATOLINGA,7,MORENA,102,,
,4,BENITO JUAREZ,7,MORENA,152,,
,5,CALERA,7,MORENA,2835,,
,6,CAÑITAS DE FELIPE PESCADOR,7,MORENA,273,,
,7,CONCEPCIÓN DEL ORO,7,MORENA,390,,
,8,CUAUHTÉMOC,7,MORENA,925,,
,9,CHALCHIHUITES,7,MORENA,2115,,
,10,FRESNILLO,7,MORENA,35589,,
,11,TRINIDAD GARCÍA DE LA CADENA,7,MORENA,531,,
,12,GENARO CODINA,7,MORENA,228,,
,13,GENERAL ENRIQUE ESTRADA,7,MORENA,388,,
,14,GRAL.  FRANCISCO R.,7,MORENA,4796,,
,15,EL PLATEADO DE JOAQUÍN AMARO,7,MORENA,361,,
,16,GENERAL PÁNFILO NATERA,7,MORENA,1837,,
,16,GUADALUPE,7,MORENA,29795,,
,18,HUANUSCO,7,MORENA,941,,
,19,JALPA,7,MORENA,3761,,
,20,MORELOS,7,MORENA,944,,
,20,JEREZ,7,MORENA,8709,,
,21,JIMÉNEZ DEL TEÚL,7,MORENA,1019,,
,22,JUAN ALDAMA,7,MORENA,2021,,
,23,JUCHIPILA,7,MORENA,2800,,
,24,LORETO,7,MORENA,4970,,
,25,LUIS MOYA,7,MORENA,1759,,
,26,MAZAPIL,7,MORENA,427,,
,27,MELCHOR  OCAMPO,7,MORENA,16,,
,28,MEZQUITAL DEL ORO,7,MORENA,772,,
,29,MIGUEL AUZA,7,MORENA,2829,,
,30,MOMAX,7,MORENA,137,,
,31,MONTE ESCOBEDO,7,MORENA,918,,
,33,MOYAHUA DE ESTRADA,7,MORENA,1163,,
,34,NOCHISTLÁN  DE MEJÍA,7,MORENA,2237,,
,35,NORIA DE ÁNGELES,7,MORENA,905,,
,36,OJOCALIENTE,7,MORENA,1611,,
,37,PÁNUCO,7,MORENA,836,,
,38,PINOS,7,MORENA,15198,,
,39,RÍO GRANDE,7,MORENA,6626,,
,40,SAÍN ALTO,7,MORENA,4187,,
,41,EL SALVADOR,7,MORENA,135,,
,42,SOMBRERETE,7,MORENA,6199,,
,43,SUSTICACÁN,7,MORENA,191,,
,44,TABASCO,7,MORENA,3313,,
,45,TEPECHITLÁN,7,MORENA,1907,,
,46,TEPETONGO,7,MORENA,728,,
,47,TEÚL DE GONZÁLEZ,7,MORENA,190,,
,48,TLALTENANGO,7,MORENA,3300,,
,49,VALPARAISO,7,MORENA,5698,,
,50,VETAGRANDE,7,MORENA,421,,
,51,VILLA DE COS,7,MORENA,4141,,
,52,VILLA GARCÍA,7,MORENA,1638,,
,53,VILLA GONZÁLEZ ORTEGA,7,MORENA,1033,,
,54,VILLA HIDALGO,7,MORENA,1365,,
,55,VILLANUEVA,7,MORENA,7952,,
,56,ZACATECAS,7,MORENA,17707,,
,57,TRANCOSO,7,MORENA,2674,,
,58,SANTA MARÍA DE LA PAZ,7,MORENA,223,,
,1,APOZOL,8,PANAL,96,,
,2,APULCO,8,PANAL,219,,
,3,ATOLINGA,8,PANAL,14,,
,4,BENITO JUAREZ,8,PANAL,3,,
,5,CALERA,8,PANAL,317,,
,6,CAÑITAS DE FELIPE PESCADOR,8,PANAL,761,,
,7,CONCEPCIÓN DEL ORO,8,PANAL,3132,,
,8,CUAUHTÉMOC,8,PANAL,1436,,
,9,CHALCHIHUITES,8,PANAL,37,,
,10,FRESNILLO,8,PANAL,1236,,
,11,TRINIDAD GARCÍA DE LA CADENA,8,PANAL,32,,
,12,GENARO CODINA,8,PANAL,39,,
,13,GENERAL ENRIQUE ESTRADA,8,PANAL,59,,
,14,GRAL.  FRANCISCO R.,8,PANAL,93,,
,15,EL PLATEADO DE JOAQUÍN AMARO,8,PANAL,14,,
,16,GENERAL PÁNFILO NATERA,8,PANAL,73,,
,16,GUADALUPE,8,PANAL,3587,,
,18,HUANUSCO,8,PANAL,109,,
,19,JALPA,8,PANAL,183,,
,20,MORELOS,8,PANAL,265,,
,20,JEREZ,8,PANAL,404,,
,21,JIMÉNEZ DEL TEÚL,8,PANAL,49,,
,22,JUAN ALDAMA,8,PANAL,89,,
,23,JUCHIPILA,8,PANAL,109,,
,24,LORETO,8,PANAL,213,,
,25,LUIS MOYA,8,PANAL,268,,
,26,MAZAPIL,8,PANAL,5126,,
,27,MELCHOR  OCAMPO,8,PANAL,844,,
,28,MEZQUITAL DEL ORO,8,PANAL,14,,
,29,MIGUEL AUZA,8,PANAL,145,,
,30,MOMAX,8,PANAL,133,,
,31,MONTE ESCOBEDO,8,PANAL,280,,
,33,MOYAHUA DE ESTRADA,8,PANAL,13,,
,34,NOCHISTLÁN  DE MEJÍA,8,PANAL,206,,
,35,NORIA DE ÁNGELES,8,PANAL,1723,,
,36,OJOCALIENTE,8,PANAL,474,,
,37,PÁNUCO,8,PANAL,1556,,
,38,PINOS,8,PANAL,557,,
,39,RÍO GRANDE,8,PANAL,346,,
,40,SAÍN ALTO,8,PANAL,653,,
,41,EL SALVADOR,8,PANAL,14,,
,42,SOMBRERETE,8,PANAL,417,,
,43,SUSTICACÁN,8,PANAL,32,,
,44,TABASCO,8,PANAL,520,,
,45,TEPECHITLÁN,8,PANAL,74,,
,46,TEPETONGO,8,PANAL,52,,
,47,TEÚL DE GONZÁLEZ,8,PANAL,62,,
,48,TLALTENANGO,8,PANAL,108,,
,49,VALPARAISO,8,PANAL,280,,
,50,VETAGRANDE,8,PANAL,1501,,
,51,VILLA DE COS,8,PANAL,901,,
,52,VILLA GARCÍA,8,PANAL,178,,
,53,VILLA GONZÁLEZ ORTEGA,8,PANAL,517,,
,54,VILLA HIDALGO,8,PANAL,59,,
,55,VILLANUEVA,8,PANAL,427,,
,56,ZACATECAS,8,PANAL,847,,
,57,TRANCOSO,8,PANAL,359,,
,58,SANTA MARÍA DE LA PAZ,8,PANAL,4,,
